StoneAge historical map.exe capture analysis — R1
SCOPE|Wayback-capture-transient-download+archive-list+map-dat-validation|derived-metadata-only|no-payload-commit
ORIGINAL|http://www.wuxitianlong.com:80/sa/map.exe
CAPTURE|timestamp=20030623234451|status=200|bytes=4223728|sha256=372426e46765a1cf479041bdafc1d3e58fb019117d00d0b43d6a5f796620776e|md5=b357132ca82d012656b9c907acef5d4e|signature=pe-mz|content_type=application/octet-stream|final=https://web.archive.org/web/20030623234451id_/http://www.wuxitianlong.com:80/sa/map.exe
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20304.DAT|size=60008|packed=5706|crc=96DBC583|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20506.DAT|size=21608|packed=2156|crc=B276FDE3|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20306.DAT|size=60008|packed=5683|crc=CABEC063|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20307.DAT|size=60008|packed=5664|crc=FBBF99AE|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20308.DAT|size=60008|packed=5516|crc=18031008|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20309.DAT|size=100808|packed=5182|crc=05527EFB|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20507.DAT|size=21608|packed=2236|crc=1C9AE60F|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20601.DAT|size=21608|packed=2423|crc=66BBAD9A|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20701.DAT|size=15008|packed=2467|crc=BFD9E8CE|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20702.DAT|size=25208|packed=3583|crc=347BFA82|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20703.DAT|size=5408|packed=946|crc=22293839|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20704.DAT|size=2408|packed=520|crc=C7122F34|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20801.DAT|size=29408|packed=3165|crc=AE967FE6|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20802.DAT|size=15008|packed=1768|crc=51230D16|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20803.DAT|size=15008|packed=1785|crc=9F78F354|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20804.DAT|size=15008|packed=1712|crc=C45E0F8B|method=m5:20
