StoneAge Taiwan v1.0 battle-scene reconstruction dataset — R1
SCOPE|verified-retail-disc|derived-metadata-only|no-payload-bytes
SOURCE|path=research/recovered/STONEAGE-TW10-CLIENT-INVENTORY-R1.txt|git_blob_sha=53472cc122ba4e67436a52b820e9e1bf0f16b24e
DERIVATION|preserve-address-table-order|records-copied-from-ADDRESS_RECORD-label-battle|stable-key=index+offset+name+sha256
ADDRESS_TABLE_CONTAINER|label=battle|table_path=stoneage/data/battletxt_1.txt|container_path=stoneage/data/battle_1.bin|records=233|record_bytes=185892|span_end=185892|container_size=185892|starts_zero=1|contiguous=1|span_matches_container=1
ADDRESS_RECORD|label=battle|index=77|offset=61908|size=804|name=battle77.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle77.sab|file_sizes=804|sha256=fccf342f8a694471af1742879dd6063d11514f98e80266e6764c10656db7e188
ADDRESS_RECORD|label=battle|index=78|offset=62712|size=804|name=battle78.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle78.sab|file_sizes=804|sha256=ecb23481114378a3e855fdd1252803bacba29608a5fbe7f2bd3d59dd0afbb852
ADDRESS_RECORD|label=battle|index=79|offset=63516|size=804|name=battle79.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle79.sab|file_sizes=804|sha256=89393123b458611638ddb5315fbdfe1f702907d06b6ecda054aed0dcc35f9d0a
ADDRESS_RECORD|label=battle|index=80|offset=64320|size=804|name=battle80.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle80.sab|file_sizes=804|sha256=b53c9130da0aed98e0b6b48f77ceaa9d4aa86d6af14dceb4e626ed03e4b184ea
ADDRESS_RECORD|label=battle|index=81|offset=65124|size=804|name=battle81.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle81.sab|file_sizes=804|sha256=1651caadd71f5c3b06c4c1a0f10f8138076231c9c52819492caa24c57a7ee7d3
ADDRESS_RECORD|label=battle|index=82|offset=65928|size=804|name=battle82.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle82.sab|file_sizes=804|sha256=475204e8c277a2b32438982c52990166ae55b686edf8e37dbe6c2d8267f3ef53
ADDRESS_RECORD|label=battle|index=83|offset=66732|size=804|name=battle83.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle83.sab|file_sizes=804|sha256=f88b76f99b11c5c0262b64c9d37ab9d10c36e4ccf54bc67354f280557f6246fd
ADDRESS_RECORD|label=battle|index=84|offset=67536|size=804|name=battle84.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle84.sab|file_sizes=804|sha256=f9c5824e46b7af5a7ac4f3f2d60d8443f1e581ba130f0e550cf545ebf55a4a03
ADDRESS_RECORD|label=battle|index=85|offset=68340|size=804|name=battle85.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle85.sab|file_sizes=804|sha256=6febed0c85bb29290c5706a8c70ee64b87fed54bb1627a622d429f4de1bc8cd6
ADDRESS_RECORD|label=battle|index=86|offset=69144|size=804|name=battle86.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle86.sab|file_sizes=804|sha256=83a60468662afb1e62bfc8102b77c3f1232e403b59b70652cbbd85733ad59f03
ADDRESS_RECORD|label=battle|index=87|offset=69948|size=804|name=battle87.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle87.sab|file_sizes=804|sha256=9613a13c6b827ac1b8e40d8610a615173a90d77da0b916e1e4cd86225684e730
ADDRESS_RECORD|label=battle|index=88|offset=70752|size=804|name=battle88.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle88.sab|file_sizes=804|sha256=1fb4fe6175de6cf6cb405b5245aa66f594d521f6acf64cce3b5cf69ce4abfaf3
ADDRESS_RECORD|label=battle|index=89|offset=71556|size=804|name=battle89.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle89.sab|file_sizes=804|sha256=5ced6099f7429714ffa8c236b82306ec637d3a760dffb5aa19bb7ba1906780e6
ADDRESS_RECORD|label=battle|index=90|offset=72360|size=804|name=battle90.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle90.sab|file_sizes=804|sha256=58b0fdf16cf24a5706e2b06f86fd8bf3f9dcd16e0b5b1460b40dbd99e65637cb
ADDRESS_RECORD|label=battle|index=91|offset=73164|size=804|name=battle91.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle91.sab|file_sizes=804|sha256=a0781df1c8412308b841393140f469959400be4125964fd23c2712d58641881f
ADDRESS_RECORD|label=battle|index=92|offset=73968|size=804|name=battle92.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle92.sab|file_sizes=804|sha256=4258cb18c8bb8d6cbc4d945fc089d0958aa4bbb7ae3fbb92028f063a210a86a6
