StoneAge Beijing-Waei 2.5 official download-page probe — R1
SCOPE|grounded-official-stoneage-prefix|2002-01-01..2002-03-15|Wayback-CDX+bounded-HTML-replay|no-binary-payload
TARGET|prefix=http://www.waei.com.cn/zhuanqu/stoneage/|from=20020101|to=20020315|max_replays=300
CDX|status=200|bytes=278146|sha256=22f92af90ed3d9b448a43f46fce16acd3b47a7c97a0a69d4f9c7ac22bdcf0edd|rows=1846|html_rows=509|final=https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2Fwww.waei.com.cn%2Fzhuanqu%2Fstoneage%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&from=20020101&to=20020315&filter=statuscode%3A200&collapse=urlkey&limit=5000
URL_HINT|score=1|timestamp=20020203193623|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/aqiang/40.GIF|mimetype=image/gif|digest=UJOODV3BGU35RJLGSDNEOW62SYXWLIUA|length=130716
URL_HINT|score=1|timestamp=20020203195524|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/aqiang/40s.GIF|mimetype=image/gif|digest=MPU7MFIZMC4VGOW4PKXF5RMBGHJNNUAH|length=75991
URL_HINT|score=1|timestamp=20020203194236|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/aqiang/50s.GIF|mimetype=image/gif|digest=W3BPR2YEQYWZBTXKLRZEVJR5JEXNOQIB|length=72268
URL_HINT|score=1|timestamp=20020203155855|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/dina.GIF|mimetype=image/gif|digest=323DSRVPMBOHAD3FY4DPZKXC4EL32BHP|length=148629
URL_HINT|score=1|timestamp=20020203155730|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/feifei/1.GIF|mimetype=image/gif|digest=M2FOJTU2DM7L4FAVYGI5S2CX6APYG4BI|length=151399
URL_HINT|score=1|timestamp=20020203161536|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/i4.GIF|mimetype=image/gif|digest=A5DFC2UBGCGU6NB2HQT5J5FQNEM3TXBO|length=13355
URL_HINT|score=1|timestamp=20020203155650|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/i5.GIF|mimetype=image/gif|digest=QKSRWLCFWKLP44652UIPJQVXBFE2IAQW|length=13793
URL_HINT|score=1|timestamp=20020205191120|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/jieluoshi/1.JPG|mimetype=image/jpeg|digest=JJJON25XADXCR5OXKO3H3RBLWPQ7ZAQN|length=51374
URL_HINT|score=1|timestamp=20020203191351|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/peiqi/50.GIF|mimetype=image/gif|digest=7KHANECRQ7TVTL5OYRA74RWEPSUTI7S3|length=108193
URL_HINT|score=1|timestamp=20020203191426|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/peiqi/50s.GIF|mimetype=image/gif|digest=V7BEHSVGYCATXKLOBATLYUQBQYH2E7CG|length=62154
URL_HINT|score=1|timestamp=20020203191724|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/peiqi/60.GIF|mimetype=image/gif|digest=GF5L3RBVN4HKPNFJHVLCC6LHZGOW3MKP|length=142423
URL_HINT|score=1|timestamp=20020203192048|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/peiqi/70.GIF|mimetype=image/gif|digest=FGDQEY2BMAM6RHJAKGI4MQDAH66IJB7I|length=160811
URL_HINT|score=1|timestamp=20020203192224|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/peiqi/80.GIF|mimetype=image/gif|digest=LP25ZM2FOWC5OTRD4I7KOU4CLAWE7FF4|length=87253
URL_HINT|score=1|timestamp=20020203193226|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/peiqi/80s.GIF|mimetype=image/gif|digest=SXBKAHCRI2J2RO3I473IIS7H6OHOKJPI|length=51492
URL_HINT|score=1|timestamp=20020203200524|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/peiqi/90s.GIF|mimetype=image/gif|digest=MPCGUT6X2BH4JHDR4BA6UGOPTIAQY3C7|length=53692
URL_HINT|score=1|timestamp=20020203160303|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/qdcl.GIF|mimetype=image/gif|digest=BL7M75TWWWLZ6IT5EQDSY7XXY4OXX4QY|length=154946
