StoneAge 2.5 sa25up historical host-neighborhood probe — R1
SCOPE|dated-source-links+wayback-cdx-host-metadata|no-game-payload-download
HOST|202.104.32.168
SOURCE|timestamp=20030605104851|status=200|bytes=406274|sha256=604304bd2c931c463ccb575f3920dd096a340441825a58274d9f6e897dc966c5|encoding=cp950|same_host_anchors=1|final=https://web.archive.org/web/20030605104851id_/http://pcpc.idv.tw:80/soft/soft.htm
IDENTITY_HTML|query=host-all|timestamp=20011229122816|original=http://202.104.32.168:80/list.php?id=1072|status=200|mime=text/html|length=5515|digest=UT3XQYRZXYO2F3PJ4V22QUGKZHTVFPDT
IDENTITY_HTML|query=host-all|timestamp=20020806014043|original=http://202.104.32.168:80/list.php?id=10720|status=200|mime=text/html|length=5615|digest=YVUQ64YQG2R3MKHGMUWCZFZIYATUVWFC
IDENTITY_HTML|query=host-all|timestamp=20021013024934|original=http://202.104.32.168:80/list.php?id=10721|status=200|mime=text/html|length=5465|digest=HPACCXJVNJE6LKDC65J246ZCZAX3ZQM5
IDENTITY_HTML|query=host-all|timestamp=20020408152803|original=http://202.104.32.168:80/list.php?id=10724|status=200|mime=text/html|length=5317|digest=ADNO7K5HXBVDFGZAYY27KQF54X4DX3LW
IDENTITY_HTML|query=host-all|timestamp=20020806014544|original=http://202.104.32.168:80/list.php?id=10725|status=200|mime=text/html|length=5379|digest=X56U33R5MFGP4S2IPAD45JO3TCNAQOHA
IDENTITY_HTML|query=host-all|timestamp=20020806015212|original=http://202.104.32.168:80/list.php?id=10731|status=200|mime=text/html|length=6196|digest=HCKSWYFOWTZJBSO5B6AW3HMRHQ6RPCKN
IDENTITY_HTML|query=host-all|timestamp=20020518204346|original=http://202.104.32.168:80/list.php?id=10735|status=200|mime=text/html|length=5287|digest=N4LKBNUWOAD5WHSJ3ECPKGKMMEWRNZBP
IDENTITY_HTML|query=host-all|timestamp=20020901052254|original=http://202.104.32.168:80/list.php?id=10736|status=200|mime=text/html|length=5485|digest=43MJWYZKHO3FP2C3B5ISJY5UJPQH6FRQ
IDENTITY_HTML|query=host-all|timestamp=20020908024947|original=http://202.104.32.168:80/list.php?id=10768|status=200|mime=text/html|length=5612|digest=OTXH7MGJVGUIFB3JCPKKBZJFQC6BAHLD
IDENTITY_HTML|query=host-all|timestamp=20020806015246|original=http://202.104.32.168:80/list.php?id=1090|status=200|mime=text/html|length=5620|digest=UFRNFOQXTHPB5PJRMXMRAG3ZWPHTVAO2
IDENTITY_HTML|query=host-all|timestamp=20020727100632|original=http://202.104.32.168:80/list.php?id=1104|status=200|mime=text/html|length=5429|digest=H5Z244WAY3FQPIWAWU274CVEUB5JRDHZ
IDENTITY_HTML|query=host-all|timestamp=20020727100850|original=http://202.104.32.168:80/list.php?id=1107|status=200|mime=text/html|length=5828|digest=VAZITYO4YE2U7GQ2A2CXZ4JOYSW3TGGP
IDENTITY_HTML|query=host-all|timestamp=20020713113952|original=http://202.104.32.168:80/list.php?id=1108|status=200|mime=text/html|length=5871|digest=QZU4VEYD4T3OL4EUJAKOE54UXYUXTM6T
IDENTITY_HTML|query=host-all|timestamp=20020713102524|original=http://202.104.32.168:80/list.php?id=1109|status=200|mime=text/html|length=5932|digest=732YNCM7EJPOBDG26P3WGMYOUKTEWBZG
IDENTITY_HTML|query=host-all|timestamp=20020713104142|original=http://202.104.32.168:80/list.php?id=1114|status=200|mime=text/html|length=5761|digest=IHKMKJUMC2RACOU5IYAQSD47WDSMW522
IDENTITY_HTML|query=host-all|timestamp=20020908030553|original=http://202.104.32.168:80/list.php?id=1118|status=200|mime=text/html|length=5555|digest=TFC4A6NMUSJ4H3PFJZXS2VNWJBN3AFW6
IDENTITY_HTML|query=host-all|timestamp=20030525112819|original=http://202.104.32.168:80/list.php?id=1122|status=200|mime=text/html|length=6833|digest=H4NWPDXWTKUF3RULTSYZQSETKNQODJ7O
IDENTITY_HTML|query=host-all|timestamp=20030525111458|original=http://202.104.32.168:80/list.php?id=1123|status=200|mime=text/html|length=6745|digest=IV2JNNRNWQ6KN5I7OC5XTAYHWL3FMMZR
IDENTITY_HTML|query=host-all|timestamp=20020607221650|original=http://202.104.32.168:80/list.php?id=1124|status=200|mime=text/html|length=5725|digest=C5BYIYWRMLWRVXG6ZROY52MW7BCJH6LD
IDENTITY_HTML|query=host-all|timestamp=20020713103907|original=http://202.104.32.168:80/list.php?id=1125|status=200|mime=text/html|length=5532|digest=FH6KRJVSUPPFFEAZJUPVVGZIN3JCOKIC
IDENTITY_HTML|query=host-all|timestamp=20030526111709|original=http://202.104.32.168:80/list.php?id=1126|status=200|mime=text/html|length=6691|digest=WMQQRHAOUCFHCRG7N7RCERY7Y52A2SUY
IDENTITY_HTML|query=host-all|timestamp=20020714123904|original=http://202.104.32.168:80/list.php?id=1127|status=200|mime=text/html|length=5716|digest=SBQEEKWTXAU4VJPHN2MYGCXCD4EIWWMI
IDENTITY_HTML|query=host-all|timestamp=20020201180327|original=http://202.104.32.168:80/list.php?id=113|status=200|mime=text/html|length=5347|digest=IQ3JWNXUH2SAACGQA7TMAIY32JNW4FIB
IDENTITY_HTML|query=host-all|timestamp=20020727030513|original=http://202.104.32.168:80/list.php?id=1130|status=200|mime=text/html|length=5437|digest=YYS3FUL4GH5Q42UELF52LMNRS622XLFM
IDENTITY_HTML|query=host-all|timestamp=20020727031115|original=http://202.104.32.168:80/list.php?id=1131|status=200|mime=text/html|length=5369|digest=HMQDYO7NUN3HT4RNQ2A4DPX56YZAIH46
IDENTITY_HTML|query=host-all|timestamp=20020201190512|original=http://202.104.32.168:80/list.php?id=1137|status=200|mime=text/html|length=5726|digest=IT2EQORBD56T5NLPFDKXQZEO7OMFOYCT
IDENTITY_HTML|query=host-all|timestamp=20020514003723|original=http://202.104.32.168:80/list.php?id=1138|status=200|mime=text/html|length=5547|digest=GOW5NUPWN63MQ46GBZKZNEJSAOFDD3VJ
CDX|label=host-200|prefix=http://202.104.32.168/|status=200|bytes=169970|sha256=89aee8f91628ef44e4cb29d182d6b2d1ea1fbf20d356761cdcb722988e98b806|rows=1296|final=https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2F202.104.32.168%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength%2Credirect&from=2001&to=2004&collapse=urlkey&limit=3000&filter=statuscode%3A200
IDENTITY_HTML|query=host-200|timestamp=20011227124446|original=http://202.104.32.168:80/|status=200|mime=text/html|length=9267|digest=L74C4O22FZ5EUKDS27IWGXMNRKRPDYWF
IDENTITY_HTML|query=host-200|timestamp=20021201031039|original=http://202.104.32.168:80/downit.php?id=10157&num=0|status=200|mime=text/html|length=334|digest=K6KSE3RVIXWNIH3OOE3PURGT3NWAR4U4
IDENTITY_HTML|query=host-200|timestamp=20020831181045|original=http://202.104.32.168:80/downit.php?id=10158&num=0|status=200|mime=text/html|length=343|digest=BLFTR7MKLGQ6OFLQFB5WQPI5264CLW6K
IDENTITY_HTML|query=host-200|timestamp=20020831181821|original=http://202.104.32.168:80/downit.php?id=1072&num=0|status=200|mime=text/html|length=333|digest=MZ45GWHNBYEFUWPTJCHE3KNGCRYJFR6V
IDENTITY_HTML|query=host-200|timestamp=20020831181829|original=http://202.104.32.168:80/downit.php?id=10720&num=0|status=200|mime=text/html|length=337|digest=VCEQE7542K3VRMDZYN6RXCOYEXRSFWQZ
IDENTITY_HTML|query=host-200|timestamp=20020831175605|original=http://202.104.32.168:80/downit.php?id=1090&num=0|status=200|mime=text/html|length=343|digest=FEBAYHF4YQJZBCEITR5335MZKEXNRD34
IDENTITY_HTML|query=host-200|timestamp=20020901053525|original=http://202.104.32.168:80/downit.php?id=1137&num=0|status=200|mime=text/html|length=344|digest=GTDJNJMJJDRJZDNH5UZWILHKDPZELWJ5
IDENTITY_HTML|query=host-200|timestamp=20021201024624|original=http://202.104.32.168:80/downit.php?id=1138&num=0|status=200|mime=text/html|length=343|digest=P4J647U5B2OIYXKCDYO6COIERH2VENSV
IDENTITY_HTML|query=host-200|timestamp=20020901052810|original=http://202.104.32.168:80/downit.php?id=1143&num=0|status=200|mime=text/html|length=343|digest=B57IZTCWEUYETXS4J4YW46K6FJKPIEET
IDENTITY_HTML|query=host-200|timestamp=20020906093826|original=http://202.104.32.168:80/downit.php?id=12438&num=0|status=200|mime=text/html|length=336|digest=MK7MMPGEJE3B5LU5PBTDO63M2HFBTMOF
IDENTITY_HTML|query=host-200|timestamp=20020906093630|original=http://202.104.32.168:80/downit.php?id=127&num=0|status=200|mime=text/html|length=334|digest=X6OKT4NHZ2WDP4IYMGT3C3DRB626W4Q5
IDENTITY_HTML|query=host-200|timestamp=20021201025720|original=http://202.104.32.168:80/downit.php?id=13934&num=0|status=200|mime=text/html|length=349|digest=QKL72XKKQ2A2GHWZYXXPIVZXI7WLFA44
IDENTITY_HTML|query=host-200|timestamp=20020906191057|original=http://202.104.32.168:80/downit.php?id=14939&num=0|status=200|mime=text/html|length=343|digest=ODZGGVA5MBVB52ZYNGHF3C6SUQAWJ7HG
IDENTITY_HTML|query=host-200|timestamp=20020907163635|original=http://202.104.32.168:80/downit.php?id=15916&num=0|status=200|mime=text/html|length=343|digest=PWPCP5PKZCLSYA75SNMFB5K6K3BA6BUK
IDENTITY_HTML|query=host-200|timestamp=20020908030157|original=http://202.104.32.168:80/downit.php?id=17691&num=0|status=200|mime=text/html|length=341|digest=OQKGTJI72LDGL635GYHWTK2YWVHRMQOI
IDENTITY_HTML|query=host-200|timestamp=20020908030932|original=http://202.104.32.168:80/downit.php?id=17803&num=0|status=200|mime=text/html|length=341|digest=UCJPNWEOUNWJ2LKKGZFGQXPPQEHWZSVX
IDENTITY_HTML|query=host-200|timestamp=20020908030833|original=http://202.104.32.168:80/downit.php?id=17941&num=0|status=200|mime=text/html|length=338|digest=EFV22KJSZJAIUY367FB4XJCXM5BRA77P
